"Objeto del Gasto","Auxiliar","Denominación","Desc. Larga"
"042","030","Compensación riesgo especial con aporte","Clasifica la compensación especial para el personal del Ejército (50%) que se encuentre directa y materialmente afectado a funciones de desactivación de artefactos explosivos, segùn A.117 L.16736 de 5/01/1996. Para la Armada (UE 018) Art 64 Func Riesgo Cnia Especial Antiterrorista, 65 L.18996 (personal embarcado)  Art.80 L.18996 de 7/11/2012. (Fusileros Navales). Asignaciòn prevista en el Inciso 03 =MDN. Incrementa A 51 L 19670"
"042","031","Retribución encargados pluviométricos","Clasifica la retribuciòn complementaria que perciben los encargados pluviomètricos, que serà acumlulable a su sueldo funcional con cargo a los fondos de los convenios celebrados entre INUMET (Inc.32) con el Ministerio del Interior u otras instituciones pùblicas estatales. (Ley 10028 derogada por A633 Ley 19355 19/12/2015- Ex-Inciso 03)"
"042","032","Aumento sueldo por mayor actividad - ANEP","Clasifica la retribución que tienen derecho los docentes con +25 años de servicio y causal jubilatoria,para continurar en actividad 5 años (sdo básico +20%)  y en cargos de dirección o inspección + 5 años más (sdo bàsico +10%). Màs de 28 o 32 de actividad  percibirán + 5% o +10%, respectivamente. Segùn Artìculo 2 de Ley 11021 de 5/01/1948 (cargo de RR.GG. Art.577 de Ley 16736 5/01/1996) y Artìculo 9 Dto.70/981 de 18/02/1981. Asignaciòn por Ley Pto Nal. en Incisos 25 = ANEP y 27 =INAU."
"042","033","Retribución complementaria: funciones fuera de residencia","Clasifica la compensación que perciben mèdicos o tècnicos por cumplir funciones en policlìnicas rurales y se radiquen en el interior del paìs, fuera de la residencia de los funcionarios. Asignación prevista por Ley de Presupuesto Nacional 19355 de 19/12/2015 en los Incisos 26 = Udelar (fin 1.2) e Inciso 29 = ASSE. (Art.278 de Ley 14416 28/08/1975,Art.279 de Ley 16226 29/10/1991 y Dto 636/991). En el Inciso 05 - Casinos asigna crèdito por su Presupuesto.
"
"042","034","Remuneración complementaria: funciones distintas al cargo","Clasifica la remuneración complementaria que reciben funcionarios por cumplir funciones distintas al cargo. Inciso 05 ""MEF"" UE002 ""CGN"" y 007 ""Aduanas"" amparados en los Artìculos 224 de Ley 14189 de 30/04/1974 y 64 de Ley 14985 de 28/12/1979.Asignaciòn de crèdito por Ley de Presupuesto Nacional 19355 de 19/12/2015 en Incisos de la Administraciòn Central y Organismos del artìculo 220 de la Constituciòn de la Repùblica."
"042","035","Por desempeño de actividades insalubres","Objeto del gasto clasificado en instancia de normativa que amparaba a cobrar compensaciòn segùn Dto. 472/976 de 27/07/1976, actualmente derogado por Dto.169/014 de 9/6/2014 reglamenta Artículos 6 a 12 de la Ley 19121 de 20/058/2013-Regula el Estatuto del funcionario público de la Administración Central). El Art. 13-Trabajo Insalubre (6hs con remuneración de 8hs y no se podrá percibir ninguna compensación extraordinaria por el mismo concepto). Asig. de crèdito en ASSE:Orgs.220 de CR."
"042","037","Fondo 5%","En orìgen compensac. para funcionarios del Inciso 05 ""MEF"" (Ley 16226/107 29/10/1991) destinada a aumentar los ingresos menores por escalafón y grado del Inciso. Se creo un fondo con el 5% de los Rec. Af. Esp de todas las UE del MEF (A.169 L.16170 28/12/1990 y Dto. 177/006 de 15/06/2006 y A.182 L.17296 de 21/02/2001-Uitlidades de Casinos). Por A.279 Ley 18719 27/12/2010 se categoriza ""Compensac. al cargo"" con cargo a RRGG y Dto. 406/011 de 31/08/2011."
"042","038","Compensación personal transitoria-se absorbe con ascenso","Retribuc.complem. p/func redistribuidos, cuando la remuneración en la Ofic.de destino sea menor a la que percibía en la Ofic. de origen. Aumenta c/el sueldo básico y se descuentan los incrementos por ascenso, dif.de grado, cambio de tabla  y  partidas o compensaciones que se otorguen en la Oficina de destino. Art.32 Dto.151/003  22/04/2003, A12 L17930 19/12/2005 (Excedentarios). Por A754 L18719-remuneración mínima para Inc.2al15 (Dto 64/11). Ver clasificador de Obj No Traspon.Se paga por 042/610"
"042","039","Tareas inspectivas","Clasifica la retribuciòn complementaria por concepto de tareas inspectivas en la industria frigoriìfica, en el Inciso 07 =MGAP segùn Artìculo 311 Ley 15809 del 8/04/1986 y Dto.291/986 de 28/05/1986 (Art. 131 Ley 15903 incrementa) y categorizada como compensación especial por Dto. 103/008 Artículo 2.  Asignaciòn presupuestal por Ley de Presupuesto Nacional 19355 de 19/12/2015 en los Incisos 07 ""MGAP"", 12""MSP"" (UE 103 Direc.Gral.Salud) y 19 ""TCA""."
"042","040","Asistencia directa al menor","Clasifica la retribución complementaria o adicional, que recibe el personal del Inc.27 = INAU por cumplir funciones de asistencia directa al menor. El artículo 315 de la Ley 19149 de 24/10/2013 lo categoriza como compensaciòn especial, para determinar la remuneración de civiles no docentes. (No puede exceder el 20 % de las retribuciones)."
"042","041","Compensación mensual funcionarios de la Salud","Compensación mensual para todos los funcionarios de la Salud. Dicha compensación no se computará a los efectos del calculo de ninguna otra remuneración, con excepción del sueldo anual complementario. Asignaciòn presupuestal por Ley de Presupuesto Nacional 19355 en el Inciso 29 = ASSE, en todas unidades ejecutoras, Centros Departamentales."
"042","042","Compensación choferes","Partida anual de $ 30.000.000 a valor vig. 1/1/92, a fin de compensar a los funcionarios que desempeñen tareas de chofer en los Programas de la Presidencia de La República segun L16.226/ A43. A su vez existe apertura en los Incisos 16 y 19.
Utilizado por la ANEP para compensación a choferes del Organismo, de acuerdo a las condiciones establecidas en el Acta N37 Resolución N28 de 10/07/1995  

"
"042","044","Compensación personal funciones de mayor jerarquía","El A.9 L.16462 (derogado por A.15 L.17296) estableció una compensación por funciones de mayor jerarquía para los Incisos 02 y 05 al 14, para el primer nivel inmediato inferior a la Dirección. Fue derogado a partir del 1/1/2001 por el A15 de Ley 17296 de 21/2/2001, pero los funcionarios que percibían dicha compensación a la fecha de vigencia de la Ley, la siguen percibiendo en carácter de COMPENSACIÓN PERSONAL. Presupuestado por Ley 19355 en los Incisos 05, 06 y 29 =ASSE. Ver table Obj. No Trasp."
"042","045","Compensación 30% p/tareas Dpto. Médico Forense","Clasifica la compensación equivalente al 30 % del total de los ingresos para los funcionarios que desempeñan tareas en el Departamento de Medicina Forense y Laboratorio de Toxicología del Poder Judicial segùn Artìculo 472 de Ley 16736 de 5/01/1996."
"042","046","Compensación distribución Fondo de Participación","Clasifica la compensación de un fondo de participación según normativa para cada inciso. Asignación de crédito por Ley de Presupuesto Nacional 19355 de 19/12/2015 en Inciso 05 (Aduanas-A202 Ley 16170 de 28/12/1990 y A254 Ley 15809 de 8/04/1986, 311 L.18.719).En los incisos 07, 12 y 29 Asignación de crédito por Ley de Presupuesto Nacional 19355 de 19/12/2015, financiación 1.2 ""RAE"".  
"
"042","049","Compensación por atención directa pacientes","Clasifica la compensación que recibe el personal del área enfermería por atención directa a pacientes en el Servicio de Sanidad de las Fuerzas Armadas y supervisión de pacientes internados en salas, servicios de emergencia y blocks quirúrgicos de ASSE.
Asignación prevista por Ley de Presupuesto Nacional 19355 de 19/12/2015 en los incisos 03-UE033 y 29 = ASSE en todos los centros departamentales.
"
"042","050","Compensación por tareas en salas de seguridad","Clasifica la compenaciòn (15% del sueldo básico) para todos los funcionarios de los Escalafs. (enfermera universitaria, auxiliar de enfermería y de servicio) en las Salas de Seguridad de los Hospitales Vilardebó y Colonia Etchepare y Santin Carlos Rossi, y Salas del serv. de enfermedades Infecto Contagiosas, de acuerdo a lo establecido por el Artìculo 255 de Ley 15903 de 10/11/1987. Asignaciòn prevista por Ley de Presupuesto Nacional 19355 de 19/12/2015 en el Inciso 29 = ASSE en varias UEs."
"042","052","Adecuación de retribuciones c/recursos","Objeto del gasto con asignaciòn de crèdito por Ley de Presupuesto Nacional 19355 de 19/12/2015 en el Inciso 05 =MEF (UE 001-financiaciìn 1.1).(Partida que pagaba para adecuar retribuciones de los funcionarios del Inciso 05-MEF por Artículo 176 Ley 16320 de 1/11/1992) En Inc. 05 UE 008=DNLoterias categorizado como compensación especial al OG 042/520."
"042","054","Compensación 30% operativa aeroportuaria","Asignación de crédito en el Inciso 03-UE 041 (financ.1.2) e Inciso 04-UE001 (financ.1.1) por Ley de Presupuesto Nacional 19355 de 19/12/2015. Por Artìculo 69 de Ley 18172 31/08/2007 financia ""Sueldo de grado"" para el Inciso 03, c/cargo a RR.GG. En orìgen, compensación del 30% sobre las retribuciones de carácter salarial por concepto de permanencia a la orden, operativa aeroportuaria, Inciso 03-MDN- UE041 (DINACIA), segùn Artìculos 119 de Ley 16170 28/12/1990 y Art. 91 de Ley 16226 de 29/101991."
"042","055","Compensación 30% retribución personal","Asignación de crédito para el Inciso 19 =TCA por Ley de Presupuesto Nacional 19355 de 19/12/2015.
En orìgen este objeto clasificò la compensación de hasta el 30% sobre las remuneraciones de carácter salarial de los funcionarios del Inciso 03 UE 041.


"
"042","056","Incremento 30% a funcionarios-TCA","Clasifica el incremento de 30% en las remuneraciones de los funcionarios del Inciso 19=TCA que se financia con el cobro del Tributo TCA creado por el Artículo 82 de Ley 16134 24/09/1990 y por el Artículo 415 de Ley 16.320 01/11/1992."
"042","057","Aumento 30% funcionarios - PJ-TCA","Asignaciòn de crèdito por Ley de Presupuesto Nacional 19355 de 19/12/2015 en Incisos 16=PJ y 19=TCA. Clasifica el incremento del 30% en el sueldo de funcionarios de Escalafones II a VI del Inciso 16 y ""Q"" con cargo al producto del Impuesto Judicial según Artìculos 390-391 Ley 16320 1/11/1992. Esta partida incluye el incremento salarial  en base al producto de la tasa prevista en el Art.149-150 de Ley 16462 11/01/1994. Por A308 CR, Artìculos 85-118 Ley 15750 24/06/1985 asimilados PJ y TCA."
"042","058","Retribución adicional según escala ","Clasifica la retribución adicional sobre las retribuciones sujetas a montepío para Ministros de Tribunal de Apelaciones, Jueces Letrados, de Paz y de Faltas (Inc.16) y por equiparación para funcionarios Escalafón ""N"" del Ministerio de Educación y Cultura (Inc.11 y 33) y para Secretario Letrado y Prosecretario Letrado del T.C.A (Inc.19), según Artículo 392 Ley 16320 01/11/1992. Asignación presupuestal en los Incisos 11,16,19 y 33. Ajusta a padròn Inc.11, UE017 y 020."
"042","060","Compensación mensual funcionarios - ASSE","Clasifica la compensación mensual para los funcionarios del Inciso 29- ASSE, segùn escala dispuesta por el Artìculo 103 de Ley 16462 de 11/01/1994. Asignaciòn prevista por Ley de Presupuesto Nal 19355 de 19/12/2015 en el Inciso 29."
"042","061","Compensación mensual s/escala - ASSE","Clasifica la compensación mensual otorgada por la Ley 16462/103 a  los funcionarios del Inciso 29 = ASSE, que revistan en los Escalafones A,B,E,y F, según escala y de acuerdo al grado. Asignaciòn de crèdito por Ley de Presupuesto 19355 de 19/12/2015 en el Inciso 29."
"042","063","Compensación mensual - INAU","Clasifica la compensación mensual para los funcionarios del INAU de $248,48 al 1/1/94 (No cargos políticos y de particular confianza y personal docente), y un incremento del 13,38% sobre retribuciones de carácter permanente sujetas a montepío (con excepción de prima por antigüedad y la compensación antes mencionada), según Artículo 215 de Ley 16462 de 11/01/1994. Asignación prevista por Ley de Presupuesto Nacional 19355 de 19/12/2015 en el Inciso 27."
"042","064","Compensación mensual porcentual- INAU ","Clasifica la compensación mensual para los funcionarios del INAU ( No cargos políticos y de particular confianza) del 6,6% a partir del 1/1/94 y del 3,19% a partir del 1/7/94, sobre el total de las retribuciones sujetas a montepío con excepción de la prima por antiguedad, segùn Artìculo 216 de Ley 16462 de 11/01/1994. Asignación prevista por Ley de Presupuesto Nacional 19355 de 19/12/2015 en el Inciso 27."
"042","065","Retribución porcentual - C. Electoral","Clasifica la retribución adicional para los funcionarios del Inciso 18 = Corte Electoral sobre las remuneraciones básicas y complementarias sujetas a montepío, excluída la prima por antiguedad en base a la escala fijada por Artìculo 163 de Ley 16462 de 11/01/1994. Asignación prevista por Ley de Presupuesto Nacional 19355 de 19/12/2015 en el Inciso 18."
"042","067","Compensación mensual para equipo - MDN","Clasifica la compensación mensual con carácter salarial sujeta a montepío para el Inc.03 = MDN, por concepto de equipo que perciben los Inspec.Grales, Princ.y Mayores (Ejército, Marina y Fuerza Aérea) segùn Artìculo 28 de Ley 16462 de 11/01/1994 y Dto 497/997 31/12/1997 incrementa la compensación (Ob. Gto. 122/001). Asignación prevista por Ley de Presupuesto Nacional 19355 de 19/12/2015 en los Incisos 03, 04, 19 y 33. (AJUSTA A PADRON INC.03 y 04, INHERENTE INC 03)"
"042","068","Compensación 15% - Serv. Informáticos - TCA","Clasifica la compensación del 15% sobre las remuneraciones de naturaleza salarial para los funcionarios del Escalafón D Especializado, que cumplan las tareas en el Servicio de Informática Documental y de Gestión del Inciso 19-TCA-Tribunal de lo Contencioso Administrativo, según Artìculo 174 de Ley 16462 de 11/01/1994. Asignaciòn en el Inc.19=TCA por Ley de Presupuesto Nacional 19355 de 19/12/2015."
